SMILES,Ki,Ki-min,Ki-max
C[C@@]12CCCN1C(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@H](Cc1cnc[nH]1)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](Cc1c[nH]c3ccc(F)cc13)NC(=O)[C@H](Cc1c[nH]c3ccc(F)cc13)NC(=O)CNC(=O)[C@H](CCCCN)NC(=O)CCSCc1cccc(c1)CSC[C@@H](C(N)=O)NC2=O,14.0,14.0,14.0
CN1CC(=O)N[C@H](C(N)=O)CSCc2cccc(c2)CSCCC(=O)N[C@@H](CCCCN)C(=O)NCC(=O)N[C@@H](Cc2c[nH]c3ccc(F)cc23)C(=O)N[C@@H](Cc2c[nH]c3ccc(F)cc23)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](Cc2cnc[nH]2)C(=O)N[C@@H](Cc2ccc(O)cc2)C1=O,10740.0,10740.0,10740.0
NCCCC[C@@H]1NC(=O)CCSCc2cccc(c2)CSC[C@@H](C(N)=O)NC(=O)[C@@H]2CCN2C(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@H](Cc2cnc[nH]2)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](Cc2c[nH]c3ccc(F)cc23)NC(=O)[C@H](Cc2c[nH]c3ccc(F)cc23)NC(=O)CNC1=O,67.5,67.5,67.5
NCCCC[C@@H]1NC(=O)CCSCc2cccc(c2)CSC[C@@H](C(N)=O)NC(=O)[C@@H]2CCCCN2C(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@H](Cc2cnc[nH]2)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](Cc2c[nH]c3ccc(F)cc23)NC(=O)[C@H](Cc2c[nH]c3ccc(F)cc23)NC(=O)CNC1=O,969.0,969.0,969.0
C[C@@]12CCCN1C(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@H](Cc1cnc[nH]1)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](Cc1c[nH]c3ccc(F)cc13)NC(=O)[C@H](Cc1c[nH]c3ccc(F)cc13)NC(=O)CNC(=O)[C@H](CCCCN)NC(=O)CCSCc1cccc(c1)CSCCNC2=O,26.6,26.6,26.6
C[C@H]1NC(=O)[C@H](CCCCN)NC(=O)CCSCc2cccc(c2)CSCCNC(=O)[C@]2(C)CCCN2C(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@H](Cc2cnc[nH]2)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](Cc2c[nH]c3ccc(F)cc23)NC(=O)[C@H](Cc2c[nH]c3ccc(F)cc23)NC1=O,23.3,23.3,23.3
CCC[C@H]1NC(=O)[C@H](CCCCN)NC(=O)CCSCc2cccc(c2)CSCCNC(=O)[C@]2(C)CCCN2C(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@H](Cc2cnc[nH]2)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](Cc2c[nH]c3ccc(F)cc23)NC(=O)[C@H](Cc2c[nH]c3ccc(F)cc23)NC1=O,43.5,43.5,43.5
CC(C)[C@H]1NC(=O)[C@H](CCCCN)NC(=O)CCSCc2cccc(c2)CSCCNC(=O)[C@]2(C)CCCN2C(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@H](Cc2cnc[nH]2)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](Cc2c[nH]c3ccc(F)cc23)NC(=O)[C@H](Cc2c[nH]c3ccc(F)cc23)NC1=O,17.6,17.6,17.6
C[C@H](O)[C@H]1NC(=O)[C@H](CCCCN)NC(=O)CCSCc2cccc(c2)CSCCNC(=O)[C@]2(C)CCCN2C(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@H](Cc2cnc[nH]2)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](Cc2c[nH]c3ccc(F)cc23)NC(=O)[C@H](Cc2c[nH]c3ccc(F)cc23)NC1=O,26.9,26.9,26.9
C[C@@H]1NC(=O)CCSCc2cccc(c2)CSCCNC(=O)[C@]2(C)CCCN2C(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@H](Cc2cnc[nH]2)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](Cc2c[nH]c3ccc(F)cc23)NC(=O)[C@H](Cc2c[nH]c3ccc(F)cc23)NC(=O)[C@@H](CCCCN)NC1=O,48.1,48.1,48.1
C[C@@H]1NC(=O)[C@@H]2CCCN2C(=O)[C@H](Cc2c[nH]c3ccc(F)cc23)NC(=O)[C@H](Cc2c[nH]c3ccc(F)cc23)NC(=O)CNC(=O)[C@H](CCCCN)NC(=O)CCSCc2cccc(c2)CSC[C@@H](C(N)=O)NC(=O)[C@]2(C)CCCN2C(=O)[C@H](Cc2ccc(O)cc2)NC1=O,88.3,88.3,88.3
C[C@@H](O)[C@@H]1NC(=O)[C@@H]2CCCN2C(=O)[C@H](Cc2c[nH]c3ccc(F)cc23)NC(=O)[C@H](Cc2c[nH]c3ccc(F)cc23)NC(=O)CNC(=O)[C@H](CCCCN)NC(=O)CCSCc2cccc(c2)CSC[C@@H](C(N)=O)NC(=O)[C@]2(C)CCCN2C(=O)[C@H](Cc2ccc(O)cc2)NC1=O,23.9,23.9,23.9
C[C@H]1NC(=O)[C@H](CCC(=O)O)NC(=O)CCSCc2cccc(c2)CSCCNC(=O)[C@]2(C)CCCN2C(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@H](Cc2cnc[nH]2)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](Cc2c[nH]c3ccc(F)cc23)NC(=O)[C@H](Cc2c[nH]c3ccc(F)cc23)NC1=O,202.2,202.2,202.2
C[C@@]12CCCN1C(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@H](Cc1cnc[nH]1)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](Cc1c[nH]c3ccc(F)cc13)NC(=O)[C@H](Cc1c[nH]c3ccc(F)cc13)NC(=O)CNC(=O)[C@H](CCCN)NC(=O)CCSCc1cccc(c1)CSC[C@@H](C(N)=O)NC2=O,132.5,132.5,132.5
CCC[C@@H]1NC(=O)CCSCc2cccc(c2)CSC[C@@H](C(N)=O)NC(=O)[C@]2(C)CCCN2C(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@H](Cc2cnc[nH]2)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](Cc2c[nH]c3ccc(F)cc23)NC(=O)[C@H](Cc2c[nH]c3ccc(F)cc23)NC(=O)CNC1=O,94.7,94.7,94.7
COc1ccc(C[C@@H]2NC(=O)[C@H](Cc3cnc[nH]3)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](Cc3c[nH]c4ccc(F)cc34)NC(=O)[C@H](Cc3c[nH]c4ccc(F)cc34)NC(=O)[C@@H](C)NC(=O)[C@H](CCCCO)NC(=O)CCSCc3cccc(c3)CSCCNC(=O)[C@]3(C)CCCN3C2=O)cc1,78.9,78.9,78.9
CC(=O)N[C@@H](Cc1cnc[nH]1)C(=O)N(C)[C@@H](Cc1ccc(F)cc1)C(=O)N[C@H]1CSCc2cccc(c2)CSC[C@@H](C(N)=O)NC(=O)[C@@H]2CCCN2C(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@H](Cc2cnc[nH]2)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](Cc2c[nH]c3ccc(F)cc23)NC(=O)[C@H](Cc2c[nH]c3ccc(F)cc23)NC(=O)CNC(=O)[C@H](CCCCN)NC1=O,956.0,956.0,956.0
CCCCC(NC(C)=O)C(=O)N[C@H]1CSCc2cccc(c2)CSC[C@@H](C(N)=O)NC(=O)[C@H]([C@@H](C)O)NC(=O)[C@H](CCC)NC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CCC)NC(=O)[C@H](Cc2c[nH]c3ncccc23)NC(=O)[C@H]([C@@H](C)O)NC(=O)[C@H](Cc2cnc[nH]2)NC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@H](C(C)(C)C)NC1=O,134.0,134.0,134.0
NCCCC[C@@H]1NC(=O)CCSCc2cccc(c2)CSCCNC(=O)[C@@H]2CCCN2C(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@H](Cc2cnc[nH]2)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](Cc2c[nH]c3ccc(F)cc23)NC(=O)[C@H](Cc2c[nH]c3ccc(F)cc23)NC(=O)CNC1=O,252.0,252.0,252.0
CC(C)[C@@H]1C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N2CCC[C@]2(C(=O)NCCSCC3=CC=CC(=C3)CSCCC(=O)N[C@H](C(=O)N1)CCCCN)C)CC4=CC=C(C=C4)O)CC5=CN=CN5)CC(=O)O)CC6=CNC7=C6C=C(C=C7)F)CC8=CNC9=C8C=C(C=C9)F,17.6,17.6,17.6
CN1[C@H](C(=O)N[C@H](C(=O)N2CCC[C@H]2C(=O)N[C@@H](CSCC3=CC=CC(=C3)CSCCC(=O)N[C@H](C(=O)NCC(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C1=O)CC(=O)O)CC4=CNC5=C4C=C(C=C5)F)CC6=CNC7=C6C=C(C=C7)F)CCCCN)C(=O)N)CC8=CC=C(C=C8)O)CC9=CN=CN9,>48000,48000.0,96000.0
CC1(C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N2CCC[C@H]2C(=O)N[C@@H](CSCC3=CC=CC(=C3)CSCCC(=O)N[C@H](C(=O)NCC(=O)N1)CCCCN)C(=O)N)CC4=CC=C(C=C4)O)CC5=CN=CN5)CC(=O)O)CC6=CNC7=C6C=C(C=C7)F)C8=CC=CC9=CC=CC=C98,63,63.0,63.0
CN1[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N2CCC[C@H]2C(=O)N[C@@H](CSCC3=CC=CC(=C3)CSCCC(=O)N[C@H](C(=O)NCC(=O)N[C@H](C1=O)CC4=CNC5=C4C=C(C=C5)F)CCCCN)C(=O)N)CC6=CC=C(C=C6)O)CC7=CN=CN7)CC(=O)O)CC8=CNC9=CC=CC=C98,>48000,48000.0,96000.0
C[C@H]1C(=O)N[C@H](C(=O)N2CCC[C@H]2C(=O)N[C@@H](CSCC3=CC=CC(=C3)CSCCC(=O)N[C@H](C(=O)NCC(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N1)CC(=O)O)CC4=CNC5=C4C=C(C=C5)F)CC6=CNC7=C6C=C(C=C7)F)CCCCN)C(=O)N)CC8=CC=C(C=C8)O,525,525.0,525.0
C[C@H]1C(=O)NCC(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N2CCC[C@H]2C(=O)N[C@@H](CSCC3=CC=CC(=C3)CSCCC(=O)N1)C(=O)N)CC4=CC=C(C=C4)O)CC5=CN=CN5)CC(=O)O)CC6=CNC7=C6C=C(C=C7)F)CC8=CNC9=C8C=C(C=C9)F,392,392.0,392.0
CC(=O)N[C@H]1CSCC2=CC(=CC=C2)CSC[C@H](NC(=O)[C@@H]3CCCN3C(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)CNC(=O)[C@@H](NC1=O)CCCCN)CC4=CNC5=C4C=C(C=C5)F)CC6=CNC7=C6C=C(C=C7)F)CC(=O)O)CC8=CN=CN8)CC9=CC=C(C=C9)O)C(=O)N,47.1,47.1,47.1
C[C@@]12CCCN1C(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)CNC(=O)[C@@H](NC(=O)CCSCC3=CC(=CC=C3)CSCCNC2=O)CCCCN)CC4=CNC5=C4C=C(C=C5)F)CC6=CNC7=C6C=C(C=C7)F)CC(=O)O)CC8=CN=CN8)CC9=CC=C(C=C9)O,26.6,26.6,26.6
C[C@H]1C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N2CCC[C@H]2C(=O)N[C@@H](CSCC3=CC=CC(=C3)CSCCC(=O)N[C@H](C(=O)NCC(=O)N[C@H](C(=O)N1)CC4=CNC5=C4C=C(C=C5)F)CCCCN)C(=O)N)CC6=CC=C(C=C6)O)CC7=CN=CN7)CC(=O)O,>48000,48000.0,96000.0
CCC[C@H]1C(=O)NCC(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N2CCC[C@]2(C(=O)N[C@@H](CSCC3=CC=CC(=C3)CSCCC(=O)N1)C(=O)N)C)CC4=CC=C(C=C4)O)CC5=CN=CN5)CC(=O)O)CC6=CNC7=C6C=C(C=C7)F)CC8=CNC9=C8C=C(C=C9)F,94.7,94.7,94.7
CN1[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N2CCC[C@H]2C(=O)N[C@@H](CSCC3=CC=CC(=C3)CSCCC(=O)N[C@H](C(=O)NCC(=O)N[C@H](C(=O)N[C@H](C1=O)CC4=CNC5=C4C=C(C=C5)F)CC6=CNC7=C6C=C(C=C7)F)CCCCN)C(=O)N)CC8=CC=C(C=C8)O)CC9=CN=CN9)CC(=O)O,12867,12867.0,12867.0
C1CCN2[C@@H](C1)C(=O)N[C@@H](CSCC3=CC=CC(=C3)CSCCC(=O)N[C@H](C(=O)NCC(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C2=O)CC4=CC=C(C=C4)O)CC5=CN=CN5)CC(=O)O)CC6=CNC7=C6C=C(C=C7)F)CC8=CNC9=C8C=C(C=C9)F)CCCCN)C(=O)N,969,969.0,969.0
C1C[C@H]2C(=O)N[C@H](CSCC3=CC=CC(=C3)CSCCC(=O)N[C@H](C(=O)NCC(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N2C1)CC4=CC=C(C=C4)O)CC5=CN=CN5)CC(=O)O)CC6=CNC7=C6C=C(C=C7)F)CC8=CNC9=C8C=C(C=C9)F)CCCCN)C(=O)N,2011,2011.0,2011.0
C[C@@H]1C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N2CCC[C@]2(C(=O)NCCSCC3=CC=CC(=C3)CSCCC(=O)N[C@H](C(=O)N1)CCCCN)C)CC4=CC=C(C=C4)O)CC5=CN=CN5)CC(=O)O)CC6=CNC7=C6C=C(C=C7)F)CC8=CNC9=C8C=C(C=C9)F,23.3,23.3,23.3
C1C[C@H]2C(=O)NCCSCC3=CC=CC(=C3)CSCCC(=O)N[C@H](C(=O)NCC(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N2C1)CC4=CC=C(C=C4)O)CC5=CN=CN5)CC(=O)O)CC6=CNC7=C6C=C(C=C7)F)CC8=CNC9=C8C=C(C=C9)F)CCCCN,252,252.0,252.0
CN1[C@H](C(=O)N2CCC[C@H]2C(=O)N[C@@H](CSCC3=CC=CC(=C3)CSCCC(=O)N[C@H](C(=O)NCC(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C1=O)CC4=CN=CN4)CC(=O)O)CC5=CNC6=C5C=C(C=C6)F)CC7=CNC8=C7C=C(C=C8)F)CCCCN)C(=O)N)CC9=CC=C(C=C9)O,112,112.0,112.0
C[C@H]1C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N2CCC[C@H]2C(=O)N[C@@H](CSCC3=CC=CC(=C3)CSCCC(=O)N[C@H](C(=O)NCC(=O)N1)CCCCN)C(=O)N)CC4=CC=C(C=C4)O)CC5=CN=CN5)CC(=O)O)CC6=CNC7=C6C=C(C=C7)F,656,656.0,656.0
CN1[C@H](C(=O)NCC(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N2CCC[C@H]2C(=O)N[C@@H](CSCC3=CC=CC(=C3)CSCCC1=O)C(=O)N)CC4=CC=C(C=C4)O)CC5=CN=CN5)CC(=O)O)CC6=CNC7=C6C=C(C=C7)F)CC8=CNC9=C8C=C(C=C9)F)CCCCN,342,342.0,342.0
CN1[C@@H](CSCC2=CC=CC(=C2)CSCCC(=O)N[C@H](C(=O)NCC(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N3CCC[C@H]3C1=O)CC4=CC=C(C=C4)O)CC5=CN=CN5)CC(=O)O)CC6=CNC7=C6C=C(C=C7)F)CC8=CNC9=C8C=C(C=C9)F)CCCCN)C(=O)N,>48000,48000.0,96000.0
CN1[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N2CCC[C@H]2C(=O)N[C@@H](CSCC3=CC=CC(=C3)CSCCC(=O)N[C@H](C(=O)NCC1=O)CCCCN)C(=O)N)CC4=CC=C(C=C4)O)CC5=CN=CN5)CC(=O)O)CC6=CNC7=C6C=C(C=C7)F)CC8=CNC9=CC=CC=C98,>48000,48000.0,96000.0
CCCCC(C(=O)N[C@H]1CSCC2=CC(=CC=C2)CSC[C@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC1=O)C(C)(C)C)CC3=CC=C(C=C3)O)CC4=CN=CN4)[C@@H](C)O)CC5=CNC6=C5C=CC=N6)CCC)CCC(=O)O)CC7=CC=C(C=C7)O)CCC)[C@@H](C)O)C(=O)N)NC(=O)C,134,134.0,134.0
CC(=O)N[C@H]1CSCC2=CC(=CC=C2)CSC[C@H](NC(=O)[C@@H]3CCCN3C(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)CNC(=O)[C@@H](NC1=O)CCCCN)CC4=CNC5=CC=CC=C54)CC6=CNC7=C6C=C(C=C7)F)CC(=O)O)CC8=CN=CN8)CC9=CC=C(C=C9)O)C(=O)N,103,103.0,103.0
C[C@@]12CCCN1C(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)CNC(=O)[C@@H](NC(=O)CCSCC3=CC(=CC=C3)CSC[C@H](NC2=O)C(=O)N)CCCN)CC4=CNC5=C4C=C(C=C5)F)CC6=CNC7=C6C=C(C=C7)F)CC(=O)O)CC8=CN=CN8)CC9=CC=C(C=C9)O,132.5,132.5,132.5
C1C[C@H]2C(=O)N[C@@H](CSCC3=CC=CC(=C3)CSCCC(=O)N[C@H](C(=O)NCC(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N2C1)CC4=CC=C(C=C4)O)CC5=CN=CN5)CC(=O)O)CC6=CNC7=C6C=C(C=C7)F)CC8=CC=C(C=C8)C9=CC=CC=C9)CCCCN)C(=O)N,29345,29345.0,29345.0
C[C@H]1C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N2CCC[C@H]2C(=O)N[C@@H](CSCC3=CC=CC(=C3)CSCCC(=O)N[C@H](C(=O)N1)CCCCN)C(=O)N)CC4=CC=C(C=C4)O)CC5=CN=CN5)CC(=O)O)CC6=CNC7=C6C=C(C=C7)F)CC8=CNC9=C8C=C(C=C9)F,>48000,48000.0,96000.0
C1C[C@H]2C(=O)N[C@@H](CSCC3=CC=CC(=C3)CSCCC(=O)N[C@H](C(=O)NCC(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N2C1)CC4=CC=C(C=C4)O)CC5=CN=CN5)CC(=O)O)CC6=CNC7=C6C=C(C=C7)F)CC8=CNC9=C8C=C(C=C9)F)CCCCN)C(=O)N,110,110.0,110.0
